,0,1,2,3,4,5,6,7,8,9
78,0.0007411742145393418,-0.006109644467922948,-0.01139123488693361,-0.014519583709605655,-0.015962077066351076,-0.016390634291837135,-0.016107589370567773,-0.014868929213912224,-0.011987406962757727,-0.006878883897540131
79,0.0006174989767373518,-0.005088497498324074,-0.009502790003308004,-0.012133694039334036,-0.013355941858976712,-0.013721119493624409,-0.013479047587828075,-0.012427305439368461,-0.010000907018509711,-0.00572909748949218
80,0.0005144940288062116,-0.004238326823646332,-0.00792767025340213,-0.010139862480631007,-0.01117513787412236,-0.011486153144848403,-0.011279248473746655,-0.010386588832742787,-0.008343851859347964,-0.004771837936984953
81,0.00042869850426541234,-0.003530448330284486,-0.006613844648291511,-0.008473666422094794,-0.009350280336058909,-0.009615037936546398,-0.00943829512160166,-0.008680959895190637,-0.0069615623191542275,-0.0039748037109009525
82,0.0003572321406579704,-0.0029410006903276553,-0.005517930324380416,-0.007081268304519772,-0.007823297795348128,-0.008048571782517265,-0.007897679463672869,-0.007255403145177245,-0.005808442002806906,-0.003311124607682044
83,0.00029769766254617025,-0.00245013251412729,-0.004603753778781083,-0.00591767666940346,-0.006545588442428682,-0.006737179827629191,-0.006608427710564839,-0.006063934139181037,-0.004846467273297096,-0.002758446276986409
84,0.0002480996169254013,-0.0020413268690404607,-0.0038411516990990435,-0.00494529282660966,-0.005476476706998849,-0.005639349825507915,-0.005529547592366946,-0.005068117342743705,-0.004043928492414433,-0.0022981694745010965
85,0.00020677688033288177,-0.0017008398829112537,-0.003204971449797256,-0.004132696243756284,-0.004581921265227298,-0.004720321646742668,-0.0046267283220738555,-0.004235827161205104,-0.0033743806732916127,-0.0019148178105001632
86,0.00017234652889897006,-0.0014172341177598469,-0.0026742379394923965,-0.0034536294568138226,-0.0038334335274619914,-0.003950989665846647,-0.0038712521771738896,-0.0035402122545489813,-0.002815768676720812,-0.0015955122262449625
87,0.00014365715347253172,-0.001180990654539471,-0.0022314591472105683,-0.0028861497358796673,-0.0032071723373677634,-0.003306983467438366,-0.0032390832757926784,-0.002958829796207981,-0.002349697893639087,-0.0013295341300778962
88,0.00011975002610142838,-0.0009841865817605822,-0.0018620472072461425,-0.0024119201189220507,-0.002683186189285966,-0.0027678979192790236,-0.002710104719355482,-0.0024729218007626045,-0.001960826197649709,-0.0011079621936749427
89,9.982679441122855e-05,-0.0008202268365167242,-0.0015538358053950319,-0.0020156169228305876,-0.002244778939814389,-0.00231664835775751,-0.0022674799604465072,-0.0020668102153486617,-0.0016363569856132185,-0.0009233703545055987
90,8.322260410409399e-05,-0.0006836211958898275,-0.0012966778478751273,-0.0016844345993243248,-0.0018779788995831048,-0.0019389305674957077,-0.0018971181798984331,-0.001727391290769427,-0.0013656164859164334,-0.0007695766826077318
91,6.938373499565387e-05,-0.0005697988192920889,-0.0010821100384825755,-0.0014076719452124076,-0.0015710944652037664,-0.0016227685344512412,-0.0015872267447242495,-0.0014437129433502996,-0.001139701315228857,-0.0006414345224392986
92,5.7848991133369054e-05,-0.00047495398366592667,-0.000903073226027562,-0.001176386302350979,-0.0013143421928260672,-0.0013581357146906286,-0.0013279365718459834,-0.0012066214899926007,-0.00095118459886842,-0.0005346587752111374
93,4.8234213494424694e-05,-0.0003959177638108713,-0.0007536792400819614,-0.0009831045776504121,-0.0010995355102163089,-0.0011366378756165522,-0.0011109885284267664,-0.0010084663724283832,-0.0007938709152010738,-0.00044568139459585606
94,4.021938977416539e-05,-0.0003300512759913943,-0.0006290164804143572,-0.0008215817479705345,-0.0009198241862172635,-0.0009512475055148926,-0.0009294709306454556,-0.0008428533540704066,-0.0006625919456709416,-0.0003715311711915146
95,3.353792547500234e-05,-0.0002751568598817755,-0.0005249878118531726,-0.0006865990482146644,-0.0007694762856709017,-0.0007960814117381459,-0.0007775998198467816,-0.0007044382340745124,-0.0005530360631506498,-0.0003097337135242474
96,2.7967712441068215e-05,-0.00022940417191108509,-0.00043817539196622235,-0.0005737953224295711,-0.0006436956851650077,-0.0006662144886773686,-0.0006505350491539838,-0.0005887544284514093,-0.0004616062173461937,-0.00025822822465536245
97,2.3323693568499948e-05,-0.0001912686827765242,-0.0003657279526878554,-0.0004795260888398878,-0.0005384693529837947,-0.0005575237766509309,-0.0005442263475674584,-0.0004920688592342285,-0.000385301414504398,-0.00021529824762190307
98,1.9451672528703057e-05,-0.0001594804939237804,-0.0003052668016998439,-0.00040074576500673253,-0.0004504395409909434,-0.00046655788777844563,-0.00045528447807653433,-0.00041126150491035106,-0.0003216178709116322,-0.0001795140298923666
99,1.6223159292394485e-05,-0.0001329817368365127,-0.00025480743296801833,-0.0003349092473299009,-0.00037679682676620627,-0.0003904276748285607,-0.00038087340135885224,-0.0003437247278982235,-0.0002684665716835369,-0.0001496845532723412
